City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
26,Contamana,PE,-7.3333,-75.0167,81.81,67,65,3.47,broken clouds
27,Arraial Do Cabo,BR,-22.9661,-42.0278,73.74,77,8,10.83,clear sky
28,Vaini,TO,-21.2,-175.2,89.76,79,20,9.22,light rain
29,Flinders,AU,-34.5833,150.8552,89.06,63,85,10.27,overcast clouds
30,Katsuura,JP,35.1333,140.3,41.14,57,29,18.61,scattered clouds
31,Grand Gaube,MU,-20.0064,57.6608,73.38,84,0,2.98,clear sky
32,Norman Wells,CA,65.282,-126.8329,-3.96,77,75,5.75,light snow
33,Puerto Ayora,EC,-0.7393,-90.3518,69.55,96,92,1.99,overcast clouds
34,Dong Hoi,VN,17.4833,106.6,67.41,77,100,22.46,overcast clouds
35,Ozernovskiy,RU,51.5,156.5167,23.05,68,100,3.53,overcast clouds
36,Castro,BR,-24.7911,-50.0119,61.29,88,87,12.95,overcast clouds
37,Bilibino,RU,68.0546,166.4372,-10.64,88,100,3.96,overcast clouds
38,Westport,US,41.1415,-73.3579,49.8,98,90,8.05,mist
39,Kapaa,US,22.0752,-159.319,82.38,78,40,5.01,light rain
40,Buala,SB,-8.145,159.5921,82.35,81,99,8.19,light rain
41,Bredasdorp,ZA,-34.5322,20.0403,62.28,88,80,6.91,broken clouds
42,Rosetta,EG,31.4044,30.4164,51.62,66,7,21.18,clear sky
43,Baturite,BR,-4.3286,-38.8847,77.72,79,84,6.51,broken clouds
44,Punta Arenas,CL,-53.15,-70.9167,57.31,58,20,18.41,few clouds
45,Spisska Nova Ves,SK,48.9446,20.5615,39.15,95,99,1.72,overcast clouds
46,Saint-Georges,GD,12.0564,-61.7485,78.48,69,20,17.27,few clouds
47,Mataura,NZ,-46.1927,168.8643,77.49,43,70,13.04,broken clouds
48,Kurumkan,RU,54.3,110.3,9.93,95,100,3.02,light snow
49,Tuktoyaktuk,CA,69.4541,-133.0374,-13.0,77,75,8.05,broken clouds
50,Abu Ghosh,IL,31.8059,35.1093,49.6,66,3,8.01,clear sky
51,Ratnagiri,IN,16.9833,73.3,70.3,55,45,8.66,scattered clouds
52,Neka,IR,36.6508,53.299,53.96,65,69,4.03,broken clouds
53,Matao,BR,-21.6033,-48.3658,68.31,86,0,11.95,clear sky
54,Saint-Pierre,RE,-21.3393,55.4781,74.88,65,0,8.05,clear sky
55,Torbay,CA,47.6666,-52.7314,29.68,75,90,37.98,overcast clouds
56,Isabela,PH,6.7085,121.9711,84.25,64,93,4.05,overcast clouds
57,Kodiak,US,57.79,-152.4072,31.68,77,94,10.63,overcast clouds
58,Usinsk,RU,65.9939,57.5281,-22.07,95,7,7.54,clear sky
59,Rockhampton,AU,-23.3833,150.5,84.09,54,75,9.22,broken clouds
60,Tarakan,ID,3.3,117.6333,76.5,94,75,9.22,moderate rain
61,Bara,NG,10.3744,10.7288,62.33,40,11,7.63,few clouds
62,Piterka,RU,50.6803,47.4454,25.25,97,100,7.56,light snow
63,Jamestown,US,42.097,-79.2353,40.32,98,90,5.01,light snow
64,Guatire,VE,10.4762,-66.5427,76.21,98,65,1.99,broken clouds
65,Cape Town,ZA,-33.9258,18.4232,63.12,88,0,8.05,clear sky
66,Zabid,YE,14.1951,43.3152,73.54,75,51,1.97,broken clouds
67,Longyearbyen,SJ,78.2186,15.6401,21.04,86,0,1.14,clear sky
