City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
87,Keti Bandar,PK,2021-12-17 19:31:17,24.1447,67.4497,63.05,20,2,12.1
88,San Policarpo,PH,2021-12-17 19:31:17,12.1791,125.5072,80.69,84,100,11.65
89,Washington,US,2021-12-17 19:27:27,47.5001,-120.5015,32.74,64,100,3.13
90,Nieuw Amsterdam,SR,2021-12-17 19:31:17,5.8833,-55.0833,86.16,74,40,9.22
91,Fuerte Olimpo,PY,2021-12-17 19:31:18,-21.0415,-57.8738,85.51,61,100,5.1
92,Bambous Virieux,MU,2021-12-17 19:32:18,-20.3428,57.7575,77.25,83,75,3.44
93,Dharchula,IN,2021-12-17 19:32:19,29.85,80.5333,41.31,28,0,8.9
94,Hualmay,PE,2021-12-17 19:32:19,-11.0964,-77.6139,72.48,74,24,12.66
95,Georgetown,MY,2021-12-17 19:29:22,5.4112,100.3354,78.89,93,40,1.99
96,Alice Springs,AU,2021-12-17 19:32:19,-23.7,133.8833,76.55,36,21,4.61
97,Kaa-Khem,RU,2021-12-17 19:32:20,51.6833,94.7333,7.16,95,100,2.13
98,Kapaa,US,2021-12-17 19:32:20,22.0752,-159.319,75.52,84,75,3.0
99,Riyadh,SA,2021-12-17 19:29:00,24.6877,46.7219,66.34,33,100,13.49
100,Rosarito,MX,2021-12-17 19:32:20,32.3333,-117.0333,67.48,45,0,7.9
101,Sisimiut,GL,2021-12-17 19:32:21,66.9395,-53.6735,14.79,70,100,12.75
102,Astara,AZ,2021-12-17 19:32:21,38.5,48.6667,39.9,74,100,5.26
103,Talcahuano,CL,2021-12-17 19:30:20,-36.7167,-73.1167,67.68,49,0,11.5
104,Popondetta,PG,2021-12-17 19:32:21,-8.7537,148.2534,74.12,98,100,3.2
105,Gomel,BY,2021-12-17 19:32:22,52.4345,30.9754,33.78,93,90,13.42
106,San Patricio,US,2021-12-17 19:32:22,28.017,-97.5169,82.49,65,100,17.92
107,Sitka,US,2021-12-17 19:30:35,57.0531,-135.33,35.49,69,90,16.11
108,Campobasso,IT,2021-12-17 19:30:43,41.6333,14.5833,42.17,91,9,5.14
109,Madras,IN,2021-12-17 19:30:05,13.0878,80.2785,77.97,81,20,2.3
110,Cape Town,ZA,2021-12-17 19:32:23,-33.9258,18.4232,70.21,57,0,4.0
111,Port Victoria,KE,2021-12-17 19:32:23,0.0939,33.9756,75.94,67,100,6.58
112,Husavik,IS,2021-12-17 19:32:23,66.0449,-17.3389,40.91,89,100,7.94
113,Albany,US,2021-12-17 19:29:32,42.6001,-73.9662,53.58,37,45,11.25
114,Castro,BR,2021-12-17 19:32:24,-24.7911,-50.0119,75.31,70,70,9.4
115,Panacan,PH,2021-12-17 19:32:24,9.2463,118.4082,78.73,84,100,10.85
116,Bethel,US,2021-12-17 19:29:02,41.3712,-73.414,58.08,25,1,1.01
117,Mata,PT,2021-12-17 19:32:25,40.683,-7.4592,44.8,74,40,2.98
118,Moa,CU,2021-12-17 19:32:25,20.6569,-74.9403,81.03,70,7,13.62
119,Port Alfred,ZA,2021-12-17 19:32:25,-33.5906,26.891,63.45,64,94,21.65
120,Asfi,MA,2021-12-17 19:32:26,32.2994,-9.2372,61.11,73,0,13.09
121,Butte,US,2021-12-17 19:32:26,39.6499,-121.5677,53.15,81,1,3.44
122,Linqiong,CN,2021-12-17 19:32:26,30.4159,103.4609,44.42,71,95,1.92
123,Mineiros,BR,2021-12-17 19:32:27,-17.5694,-52.5511,76.53,78,91,8.16
124,Blackwater,AU,2021-12-17 19:32:27,-23.5833,148.8833,71.26,78,2,8.19
125,Buala,SB,2021-12-17 19:32:27,-8.145,159.5921,79.79,86,100,4.5
126,Malini,RO,2021-12-17 19:32:28,47.4667,26.0833,36.81,95,100,9.42
127,Xinzhi,CN,2021-12-17 19:32:28,36.4989,111.7047,28.18,24,3,2.3
128,Bayan,CN,2021-12-17 19:32:28,46.0833,127.4,-8.9,98,11,2.91
129,Cabedelo,BR,2021-12-17 19:32:29,-6.9811,-34.8339,84.87,74,25,13.89
130,Khatanga,RU,2021-12-17 19:32:29,71.9667,102.5,-39.39,100,97,4.5
131,Whitehorse,CA,2021-12-17 19:32:29,60.7161,-135.0538,-3.23,84,40,4.61
132,Yelatma,RU,2021-12-17 19:32:30,54.9675,41.7508,29.86,98,100,4.0
133,Meulaboh,ID,2021-12-17 19:32:30,4.1363,96.1285,76.71,89,100,6.24
134,Bredasdorp,ZA,2021-12-17 19:32:30,-34.5322,20.0403,61.29,72,0,21.09
135,Belaya Gora,RU,2021-12-17 19:32:31,68.5333,146.4167,-21.3,99,100,3.22
136,Bengkulu,ID,2021-12-17 19:32:31,-3.8004,102.2655,75.13,91,100,5.75
137,Ust-Maya,RU,2021-12-17 19:32:31,60.4167,134.5333,-26.57,98,100,2.37
138,Sangar,RU,2021-12-17 19:32:32,63.9242,127.4739,-26.27,96,100,4.61
139,Cabo San Lucas,MX,2021-12-17 19:28:12,22.8909,-109.9124,79.52,66,40,6.91
140,Erzin,TR,2021-12-17 19:33:32,36.9559,36.2,48.92,83,100,2.64
141,Tynda,RU,2021-12-17 19:33:32,55.1667,124.7167,-21.28,97,49,2.62
142,Vardo,NO,2021-12-17 19:33:33,70.3705,31.1107,33.78,86,75,16.11
143,Yulara,AU,2021-12-17 19:33:33,-25.2406,130.9889,82.24,28,43,4.61
144,Lorengau,PG,2021-12-17 19:33:33,-2.0226,147.2712,79.95,84,100,9.46
145,Nanortalik,GL,2021-12-17 19:33:34,60.1432,-45.2371,19.09,67,1,4.47
146,East London,ZA,2021-12-17 19:30:46,-33.0153,27.9116,62.26,72,100,13.6
147,Havoysund,NO,2021-12-17 19:33:34,70.9963,24.6622,38.28,88,100,20.85
148,Rawson,AR,2021-12-17 19:30:54,-43.3002,-65.1023,80.58,37,98,22.19
149,Hofn,IS,2021-12-17 19:33:35,64.2539,-15.2082,40.66,87,100,4.63
150,Thompson,CA,2021-12-17 19:32:39,55.7435,-97.8558,-12.84,70,75,6.91
151,Luau,AO,2021-12-17 19:33:35,-10.7073,22.2247,63.91,98,99,3.44
152,Yellowknife,CA,2021-12-17 19:33:35,62.456,-114.3525,-26.72,75,20,6.91
153,Maragogi,BR,2021-12-17 19:33:36,-9.0122,-35.2225,80.62,75,26,10.76
154,Port Elizabeth,ZA,2021-12-17 19:33:36,-33.918,25.5701,62.89,67,20,17.27
155,Ratnagiri,IN,2021-12-17 19:33:36,16.9833,73.3,73.67,61,22,5.17
156,Ishigaki,JP,2021-12-17 19:33:37,24.3448,124.1572,63.91,69,100,32.88
157,Iqaluit,CA,2021-12-17 19:29:50,63.7506,-68.5145,29.93,80,90,24.0
158,Dakar,SN,2021-12-17 19:33:37,14.6937,-17.4441,77.88,78,0,4.61
159,Upernavik,GL,2021-12-17 19:33:37,72.7868,-56.1549,3.9,72,100,7.83
160,Kosa,RU,2021-12-17 19:33:38,59.9445,54.9977,18.86,97,100,3.69
161,San Carlos,VE,2021-12-17 19:33:15,9.6612,-68.5827,86.36,54,100,5.53
162,Xiuyan,CN,2021-12-17 19:33:38,40.2928,123.2744,13.59,37,3,2.1
163,Gravdal,NO,2021-12-17 19:33:38,68.1214,13.5031,44.49,81,75,16.11
164,Progreso,MX,2021-12-17 19:33:39,21.2833,-89.6667,89.71,58,51,12.53
165,Jinzhou,CN,2021-12-17 19:33:39,41.1078,121.1417,15.87,30,20,5.46
166,Narsaq,GL,2021-12-17 19:33:39,60.9167,-46.05,17.82,69,0,7.11
167,Tura,IN,2021-12-17 19:33:40,25.5198,90.2201,57.54,73,43,3.87
168,Pingyi,CN,2021-12-17 19:33:40,35.5006,117.6308,23.49,27,0,3.85
169,Inirida,CO,2021-12-17 19:33:40,3.8653,-67.9239,82.26,88,90,4.21
170,Cayenne,GF,2021-12-17 19:33:41,4.9333,-52.3333,86.04,82,20,4.0
171,Clyde River,CA,2021-12-17 19:33:41,70.4692,-68.5914,-9.17,77,90,10.36
172,Lavrentiya,RU,2021-12-17 19:33:41,65.5833,-171.0,2.01,92,100,8.39
173,Ketchikan,US,2021-12-17 19:33:42,55.3422,-131.6461,28.87,86,90,3.44
174,Mandali,IQ,2021-12-17 19:33:42,33.7499,45.5541,67.78,52,13,31.0
175,Mana,GF,2021-12-17 19:33:42,5.6592,-53.7767,81.46,78,43,8.66
176,Roald,NO,2021-12-17 19:33:43,62.5833,6.1333,50.32,93,75,20.71
177,Shakawe,BW,2021-12-17 19:33:43,-18.3667,21.85,68.94,85,98,5.28
178,Port Lincoln,AU,2021-12-17 19:33:43,-34.7333,135.8667,59.94,86,3,9.17
179,Dekar,BW,2021-12-17 19:33:44,-21.5333,21.9333,73.44,69,100,13.06
180,Praxedis Guerrero,MX,2021-12-17 19:33:44,31.3667,-106.0167,58.42,25,100,8.32
181,Salalah,OM,2021-12-17 19:33:44,17.0151,54.0924,77.09,57,75,13.8
182,Lata,PT,2021-12-17 19:33:45,40.1629,-8.3327,56.8,69,0,4.47
183,Richards Bay,ZA,2021-12-17 19:34:45,-28.783,32.0377,65.12,69,100,10.42
184,Sobradinho,BR,2021-12-17 19:32:34,-12.8333,-39.1,77.74,82,76,5.77
185,Liwale,TZ,2021-12-17 19:34:45,-9.7667,37.9333,72.25,89,67,5.57
186,Souillac,MU,2021-12-17 19:34:46,-20.5167,57.5167,77.38,83,75,3.44
187,Nantucket,US,2021-12-17 19:31:09,41.2835,-70.0995,60.91,51,1,13.8
188,Longyearbyen,SJ,2021-12-17 19:34:46,78.2186,15.6401,31.84,69,40,20.71
189,Kavaratti,IN,2021-12-17 19:34:46,10.5669,72.642,82.15,72,1,10.25
190,Anan,JP,2021-12-17 19:34:47,33.9167,134.65,37.27,66,55,23.2
191,Nalut,LY,2021-12-17 19:34:47,30.3333,10.85,50.38,41,0,8.61
192,Thunder Bay,CA,2021-12-17 19:34:47,48.4001,-89.3168,17.56,71,90,3.44
193,Chipinge,ZW,2021-12-17 19:34:48,-20.1883,32.6236,60.98,97,100,3.36
194,Paulo Afonso,BR,2021-12-17 19:34:48,-9.4061,-38.2147,98.89,28,40,10.36
195,Pacific Grove,US,2021-12-17 19:30:45,36.6177,-121.9166,56.77,71,1,5.01
196,Adrar,MR,2021-12-17 19:34:48,20.5022,-10.0711,69.94,47,95,6.76
197,Beringovskiy,RU,2021-12-17 19:34:49,63.05,179.3167,-2.38,97,100,18.81
198,Santiago,CL,2021-12-17 19:30:00,-33.4569,-70.6483,89.29,26,0,9.22
199,Ilo,PE,2021-12-17 19:34:49,-17.6394,-71.3375,71.37,71,4,10.89
200,Tilichiki,RU,2021-12-17 19:34:49,60.4667,166.1,-4.38,96,100,7.07
201,Muyezerskiy,RU,2021-12-17 19:34:50,63.9333,31.65,12.33,99,94,2.68
202,Peniche,PT,2021-12-17 19:34:50,39.3558,-9.3811,57.09,73,5,10.47
203,Lockhart,US,2021-12-17 19:34:50,28.6194,-81.4426,83.73,61,1,1.99
204,Aklavik,CA,2021-12-17 19:34:51,68.2191,-135.0107,-10.48,69,75,6.91
205,Panaba,MX,2021-12-17 19:34:51,21.2833,-88.2667,91.22,37,15,11.83
206,Matagami,CA,2021-12-17 19:34:51,49.7502,-77.6328,15.91,79,90,13.8
207,New Norfolk,AU,2021-12-17 19:34:52,-42.7826,147.0587,64.92,38,100,2.95
208,Kruisfontein,ZA,2021-12-17 19:34:52,-34.0033,24.7314,59.88,64,1,15.32
209,Kahului,US,2021-12-17 19:34:52,20.8947,-156.47,78.06,83,20,0.0
210,Saldanha,ZA,2021-12-17 19:34:53,-33.0117,17.9442,68.43,54,37,12.75
211,Karatsu,JP,2021-12-17 19:34:53,33.4425,129.9697,40.89,25,27,3.0
212,Nizwa,OM,2021-12-17 19:34:53,22.9333,57.5333,61.97,57,50,2.84
213,Constitucion,CL,2021-12-17 19:34:54,-35.3333,-72.4167,64.71,57,0,15.14
214,Stuttgart,DE,2021-12-17 19:34:42,48.7823,9.177,41.04,90,90,4.61
215,Hobart,AU,2021-12-17 19:30:06,-42.8794,147.3294,62.46,58,0,1.99
216,Dikson,RU,2021-12-17 19:34:54,73.5069,80.5464,-16.76,97,100,9.44
217,Jining,CN,2021-12-17 19:34:55,35.405,116.5814,23.58,29,18,6.87
218,Grindavik,IS,2021-12-17 19:34:55,63.8424,-22.4338,40.95,100,90,2.3
219,Rabo De Peixe,PT,2021-12-17 19:34:55,37.8,-25.5833,60.31,89,20,9.22
220,Aquiraz,BR,2021-12-17 19:34:55,-3.9014,-38.3911,87.89,71,1,12.46
221,Lompoc,US,2021-12-17 19:34:56,34.6391,-120.4579,64.56,77,1,1.99
222,Mezen,RU,2021-12-17 19:34:56,65.8522,44.24,0.66,99,71,2.89
223,Palamos,ES,2021-12-17 19:34:56,41.8484,3.1291,52.32,92,39,7.18
224,Sao Joao Da Barra,BR,2021-12-17 19:32:05,-21.6403,-41.0511,77.09,92,100,8.32
225,Esperance,AU,2021-12-17 19:34:57,-33.8667,121.9,51.64,73,100,9.91
226,Opuwo,NA,2021-12-17 19:34:57,-18.0607,13.84,73.6,32,0,13.02
227,Puerto Baquerizo Moreno,EC,2021-12-17 19:34:58,-0.9,-89.6,76.19,73,40,17.27
228,Barabai,ID,2021-12-17 19:34:58,-2.5833,115.3833,74.5,96,100,1.45
229,Leningradskiy,RU,2021-12-17 19:34:58,69.3833,178.4167,-13.45,98,100,1.54
230,Nome,US,2021-12-17 19:35:59,64.5011,-165.4064,26.67,86,90,14.97
231,Kamaishi,JP,2021-12-17 19:35:59,39.2667,141.8833,26.53,58,31,13.42
232,Tenerife,CO,2021-12-17 19:35:59,9.9003,-74.859,90.55,50,100,5.19
233,Seymchan,RU,2021-12-17 19:35:59,62.8833,152.4333,-42.12,100,96,0.43
234,Mumford,GH,2021-12-17 19:36:00,5.2618,-0.759,81.14,83,90,8.81
235,Alibag,IN,2021-12-17 19:36:00,18.6411,72.8792,77.07,71,4,6.46
236,Shingu,JP,2021-12-17 19:36:00,33.7333,135.9833,37.22,78,24,8.5
237,Elko,US,2021-12-17 19:35:38,41.0002,-115.5012,30.06,72,54,8.99
238,Nashville,US,2021-12-17 19:36:01,36.1659,-86.7844,64.87,87,90,4.0
239,Saint George,US,2021-12-17 19:35:48,37.1041,-113.5841,46.63,55,1,1.01
240,Anadyr,RU,2021-12-17 19:36:01,64.75,177.4833,-16.01,75,100,11.01
241,Kindu,CD,2021-12-17 19:36:02,-2.95,25.95,69.73,98,100,2.68
242,Palmer,US,2021-12-17 19:36:02,42.1584,-72.3287,59.61,18,20,12.66
243,Beira,MZ,2021-12-17 19:36:02,-19.8436,34.8389,75.6,88,100,10.92
244,Abu Kamal,SY,2021-12-17 19:36:03,34.4506,40.9171,54.19,58,5,3.31
245,Mar Del Plata,AR,2021-12-17 19:36:03,-38.0023,-57.5575,77.02,89,0,17.0
246,Sorland,NO,2021-12-17 19:36:03,67.667,12.6934,44.67,85,100,27.85
